id,fullname,email,phone,cccd,specialty,license_number,experience_years,certificate_info,clinic_id,status,note,submitted_at,reviewed_at,password_hash
1,BS. Trần Hữu Cường,tran.huu.cuong42@medibook.vn,0900000001,001090000001,Tim mạch,CCHN-00001,18,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.693705,2026-06-05T01:40:35.693711,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
2,BS. Hồ Quốc Hùng,ho.quoc.hung68@medibook.vn,0900000002,001090000002,Tai Mũi Họng,CCHN-00002,8,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.693776,2026-06-05T01:40:35.693778,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
3,BS. Đặng Kim Yến,dặng.kim.yen99@medibook.vn,0900000003,001090000003,Tai Mũi Họng,CCHN-00003,13,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.693817,2026-06-05T01:40:35.693818,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
4,BS. Dương Hồng Lan,duong.hong.lan29@medibook.vn,0900000004,001090000004,Y học cổ truyền,CCHN-00004,25,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.693849,2026-06-05T01:40:35.693849,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
5,BS. Dương Minh Trang,duong.minh.trang16@medibook.vn,0900000005,001090000005,Sức khỏe tâm thần,CCHN-00005,15,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.693879,2026-06-05T01:40:35.693880,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
6,BS. Đỗ Thanh Nam,do.thanh.nam35@medibook.vn,0900000006,001090000006,Răng Hàm Mặt,CCHN-00006,6,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.693948,2026-06-05T01:40:35.693950,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
7,BS. Lê Quốc Lan,lc.quoc.lan24@medibook.vn,0900000007,001090000007,Răng Hàm Mặt,CCHN-00007,25,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.693985,2026-06-05T01:40:35.693986,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
8,BS. Ngô Hồng Yến,ngo.hong.yen69@medibook.vn,0900000008,001090000008,Hô hấp,CCHN-00008,20,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.694013,2026-06-05T01:40:35.694014,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
9,BS. Võ Thanh Yến,vo.thanh.yen24@medibook.vn,0900000009,001090000009,Cơ xương khớp,CCHN-00009,16,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.694041,2026-06-05T01:40:35.694042,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
10,BS. Phạm Hồng Sơn,pham.hong.son93@medibook.vn,0900000010,001090000010,Ngoại chấn thương chỉnh hình,CCHN-00010,29,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.694069,2026-06-05T01:40:35.694070,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
