id,name,specialty_id,specialty_name,clinic_id,experience_years,rating,symptoms,email
1,BS. Nguyễn Tuấn Hùng,1,Nội tổng quát,1,7,4.7,"Sốt, đau đầu, mệt mỏi, khám sức khỏe định kỳ",bs.c1.s1.1@medibook.vn
2,BS. Nguyễn Văn Hương,2,Tim mạch,1,22,4.0,"Đau ngực, huyết áp, loạn nhịp tim, khó thở",bs.c1.s2.2@medibook.vn
3,BS. Vũ Thanh Tâm,3,Da liễu,1,30,4.0,"Mẩn ngứa, dị ứng, mụn nhọt, rụng tóc",bs.c1.s3.3@medibook.vn
4,BS. Bùi Đức Minh,3,Da liễu,1,13,4.1,"Mẩn ngứa, dị ứng, mụn nhọt, rụng tóc",bs.c1.s3.4@medibook.vn
5,BS. Đỗ Đình Hùng,4,Cơ xương khớp,1,17,4.5,"Đau lưng, đau khớp, thoái hóa, gout",bs.c1.s4.5@medibook.vn
6,BS. Đặng Hoài Hòa,4,Cơ xương khớp,1,9,4.7,"Đau lưng, đau khớp, thoái hóa, gout",bs.c1.s4.6@medibook.vn
7,BS. Lê Hoài Lan,5,Tiêu hóa,1,11,4.5,"Đau dạ dày, tiêu chảy, táo bón, ợ hơi",bs.c1.s5.7@medibook.vn
8,BS. Đỗ Ngọc Hương,5,Tiêu hóa,1,25,4.9,"Đau dạ dày, tiêu chảy, táo bón, ợ hơi",bs.c1.s5.8@medibook.vn
9,BS. Huỳnh Thanh Phương,6,Tai Mũi Họng,1,25,4.6,"Viêm họng, viêm xoang, ù tai, nghẹt mũi",bs.c1.s6.9@medibook.vn
10,BS. Trần Thành Dũng,7,Thần kinh,1,5,4.2,"Đau đầu, chóng mặt, mất ngủ, rối loạn tiền đình",bs.c1.s7.10@medibook.vn
11,BS. Hồ Quỳnh Châu,8,Nhi khoa,1,7,4.2,"Sốt, ho, biếng ăn, tiêm chủng trẻ em",bs.c1.s8.11@medibook.vn
12,BS. Hồ Ngọc Lan,8,Nhi khoa,1,18,4.1,"Sốt, ho, biếng ăn, tiêm chủng trẻ em",bs.c1.s8.12@medibook.vn
13,BS. Huỳnh Thành Bình,9,Sản phụ khoa,1,15,4.4,"Khám thai, rối loạn kinh nguyệt, phụ khoa",bs.c1.s9.13@medibook.vn
14,BS. Nguyễn Hải Trang,10,Nhãn khoa,1,11,4.8,"Cận thị, đục thủy tinh thể, viêm kết mạc",bs.c1.s10.14@medibook.vn
15,BS. Đặng Xuân Cường,10,Nhãn khoa,1,26,4.9,"Cận thị, đục thủy tinh thể, viêm kết mạc",bs.c1.s10.15@medibook.vn
