id,fullname,email,username,phone,password_hash,created_at,role,cccd,login_count,status,gender,dob
1,BS. Nguyễn Tuấn Hùng,bs.c1.s1.1@medibook.vn,bsc1s11,942868828,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163497,doctor,1339670711.0,0.0,,Nam,1987-01-01
2,BS. Nguyễn Văn Hương,bs.c1.s2.2@medibook.vn,bsc1s22,941227216,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163517,doctor,1642621108.0,0.0,,Nam,1994-01-01
3,BS. Vũ Thanh Tâm,bs.c1.s3.3@medibook.vn,bsc1s33,947338124,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163525,doctor,1969119330.0,0.0,,Nam,1987-01-01
4,BS. Bùi Đức Minh,bs.c1.s3.4@medibook.vn,bsc1s34,938898923,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163531,doctor,1919795579.0,0.0,,Nữ,1966-01-01
5,BS. Đỗ Đình Hùng,bs.c1.s4.5@medibook.vn,bsc1s45,915831819,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163536,doctor,1883543540.0,0.0,,Nữ,1965-01-01
6,BS. Đặng Hoài Hòa,bs.c1.s4.6@medibook.vn,bsc1s46,958537831,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163541,doctor,1719927151.0,0.0,,Nam,1974-01-01
7,BS. Lê Hoài Lan,bs.c1.s5.7@medibook.vn,bsc1s57,923556182,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163546,doctor,1508157429.0,0.0,,Nữ,1970-01-01
8,BS. Đỗ Ngọc Hương,bs.c1.s5.8@medibook.vn,bsc1s58,999949389,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163550,doctor,1386665249.0,0.0,,Nam,1970-01-01
9,BS. Huỳnh Thanh Phương,bs.c1.s6.9@medibook.vn,bsc1s69,946231783,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163565,doctor,1787194506.0,0.0,,Nữ,1963-01-01
10,BS. Trần Thành Dũng,bs.c1.s7.10@medibook.vn,bsc1s710,963843426,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163570,doctor,1387484583.0,0.0,,Nữ,1973-01-01
11,BS. Hồ Quỳnh Châu,bs.c1.s8.11@medibook.vn,bsc1s811,929175900,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163575,doctor,1384412919.0,0.0,,Nữ,1987-01-01
12,BS. Hồ Ngọc Lan,bs.c1.s8.12@medibook.vn,bsc1s812,928566572,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163580,doctor,1647099690.0,0.0,,Nam,1967-01-01
13,BS. Huỳnh Thành Bình,bs.c1.s9.13@medibook.vn,bsc1s913,990048665,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163586,doctor,1168212356.0,0.0,,Nữ,1993-01-01
14,BS. Nguyễn Hải Trang,bs.c1.s10.14@medibook.vn,bsc1s1014,982070937,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163591,doctor,1906248900.0,0.0,,Nữ,1967-01-01
15,BS. Đặng Xuân Cường,bs.c1.s10.15@medibook.vn,bsc1s1015,970897765,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163595,doctor,1103484630.0,0.0,,Nữ,1992-01-01
16,BS. Phạm Hoài Hải,bs.c1.s11.16@medibook.vn,bsc1s1116,995758349,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163600,doctor,1645098869.0,0.0,,Nữ,1970-01-01
17,BS. Bùi Thanh Anh,bs.c1.s12.17@medibook.vn,bsc1s1217,925014631,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163606,doctor,1489747629.0,0.0,,Nam,1963-01-01
18,BS. Lê Văn Yến,bs.c1.s13.18@medibook.vn,bsc1s1318,919289546,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163611,doctor,1916690353.0,0.0,,Nam,1990-01-01
19,BS. Võ Quang Hòa,bs.c1.s14.19@medibook.vn,bsc1s1419,966792612,$2b$12$fYJFFAw0vnqn0JzsCwA8EOKCmGEfMeZKlqY1muCKcjYVeHGo/TeQS,2026-06-09T03:16:55.163617,doctor,1327416584.0,0.0,,Nam,1979-01-01
